distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
1831.116,1843.174,GW1690,3.779928573,-71.46328303,416,460,6.35,42000,12,
1843.174,1846.343,GW1700,3.779950255,-71.46339509,415.5,460,6.35,42000,12,
1846.343,1858.355,GW1710,3.779955954,-71.46342454,415,460,6.35,42000,12,
1858.355,1865.996,GW1720,3.779977552,-71.46353617,414.5,460,6.35,42000,12,
1865.996,1876.731,GW1730,3.779991254,-71.46360718,414,460,6.35,42000,12,
1876.731,1888.803,GW1740,3.780010277,-71.463707,413.5,460,6.35,42000,12,
1888.803,1900.844,GW1750,3.780031593,-71.46381926,413,460,6.35,42000,12,
1900.844,1912.812,GW1760,3.780052853,-71.46393123,412.5,460,6.35,42000,12,
1912.812,1924.804,GW1770,3.780073985,-71.46404252,412,460,6.35,42000,12,
1924.804,1936.799,GW1780,3.78009516,-71.46415404,411.5,460,6.35,42000,12,
1936.799,1945.963,GW1790,3.780116094,-71.46426563,411,460,6.35,42000,12,
1945.963,1957.942,GW1800,3.780131092,-71.46435106,410.5,460,6.35,42000,12,
1957.942,1969.964,GW1810,3.780150694,-71.46446274,410,460,6.35,42000,12,
1969.964,1981.961,GW1820,3.780170368,-71.46457482,409.5,460,6.35,42000,12,
1981.961,1993.971,GW1830,3.780190001,-71.46468667,409,460,6.35,42000,12,
1993.971,2005.987,GW1840,3.780209655,-71.46479864,408.5,460,6.35,42000,12,
2005.987,2018.017,GW1850,3.780229318,-71.46491066,408,460,6.35,42000,12,
2018.017,2030.03,GW1860,3.780249005,-71.46502282,407.5,460,6.35,42000,12,
2030.03,2042.053,GW1870,3.780268664,-71.46513481,407,460,6.35,42000,12,
2042.053,2054.047,GW1880,3.780288888,-71.4652468,406.5,460,6.35,42000,12,
2054.047,2065.043,GW1890,3.780309555,-71.46535843,406,460,6.35,42000,12,
2065.043,2066.053,GW1900,3.780328503,-71.46546078,405.5,460,6.35,42000,12,
2066.053,2077.677,GW1910,3.780330243,-71.46547018,405,460,6.35,42000,12,
2077.677,2089.315,GW1920,3.780350273,-71.46557836,404.5,460,6.35,42000,12,
2089.315,2100.92,GW1930,3.780370328,-71.46568668,404,460,6.35,42000,12,
2100.92,2107.021,GW1940,3.780390326,-71.46579469,403.5,460,6.35,42000,12,
2107.021,2113.131,GW1950,3.780400839,-71.46585148,403,460,6.35,42000,12,
2113.131,2124.621,GW1960,3.780411366,-71.46590834,402.5,460,6.35,42000,12,
2124.621,2130.734,GW1970,3.780431165,-71.46601528,402,460,6.35,42000,12,
2130.734,2136.315,GW1980,3.780442063,-71.46607211,401.5,460,6.35,42000,12,
2136.315,2137.289,GW1990,3.780452147,-71.46612397,401,460,6.35,42000,12,
2137.289,2142.14,GW2000,3.780453949,-71.46613301,400.5,460,6.35,42000,12,
2142.14,2154.179,GW2010,3.780462923,-71.46617804,400,460,6.35,42000,12,
2154.179,2166.193,GW2020,3.780485181,-71.4662898,399.5,460,6.35,42000,12,
2166.193,2178.218,GW2030,3.780507145,-71.46640137,399,460,6.35,42000,12,
2178.218,2190.214,GW2040,3.78052894,-71.46651309,398.5,460,6.35,42000,12,
2190.214,2202.182,GW2050,3.780550681,-71.46662454,398,460,6.35,42000,12,
2202.182,2214.122,GW2060,3.780572374,-71.46673572,397.5,460,6.35,42000,12,
2214.122,2226.08,GW2070,3.780594015,-71.46684665,397,460,6.35,42000,12,
2226.08,2238.088,GW2080,3.780615689,-71.46695774,396.5,460,6.35,42000,12,
2238.088,2250.112,GW2090,3.780637455,-71.4670693,396,460,6.35,42000,12,
2250.112,2251.511,GW2100,3.780659246,-71.467181,395.5,460,6.35,42000,12,
2251.511,2263.512,GW2110,3.780661782,-71.467194,395,460,6.35,42000,12,
2263.512,2275.508,GW2120,3.780683192,-71.46730556,394.5,460,6.35,42000,12,
2275.508,2287.517,GW2130,3.78070406,-71.46741717,394,460,6.35,42000,12,
2287.517,2299.483,GW2140,3.780724888,-71.46752892,393.5,460,6.35,42000,12,
2299.483,2311.505,GW2150,3.780745642,-71.46764026,393,460,6.35,42000,12,
2311.505,2323.507,GW2160,3.780766494,-71.46775213,392.5,460,6.35,42000,12,
2323.507,2331.813,GW2170,3.78078731,-71.46786381,392,460,6.35,42000,12,
2331.813,2343.829,GW2180,3.780801717,-71.4679411,391.5,460,6.35,42000,12,
2343.829,2355.832,GW2190,3.78082247,-71.46805293,391,460,6.35,42000,12,
2355.832,2367.843,GW2200,3.780840113,-71.46816514,390.5,460,6.35,42000,12,
2367.843,2379.84,GW2210,3.780851031,-71.46827826,390,460,6.35,42000,12,
2379.84,2391.803,GW2220,3.78085965,-71.46839149,389.5,460,6.35,42000,12,
2391.803,2403.769,GW2230,3.780870807,-71.46850414,389,460,6.35,42000,12,
2403.769,2415.767,GW2240,3.780894006,-71.46861493,388.5,460,6.35,42000,12,
2415.767,2417.315,GW2250,3.780924713,-71.46872426,388,460,6.35,42000,12,
2417.315,2429.295,GW2260,3.780928832,-71.46873832,387.5,460,6.35,42000,12,
2429.295,2441.282,GW2270,3.780960672,-71.46884716,387,460,6.35,42000,12,
2441.282,2447.846,GW2280,3.780989752,-71.4689568,386.5,460,6.35,42000,12,
2447.846,2459.862,GW2290,3.781003184,-71.46901746,386,460,6.35,42000,12,
2459.862,2469.497,GW2300,3.781024506,-71.46912918,385.5,460,6.35,42000,12,
2469.497,2471.909,GW2310,3.781042528,-71.46921858,385,460,6.35,42000,12,
2471.909,2476.879,GW2320,3.781047103,-71.46924095,384.5,460,6.35,42000,12,
2476.879,2488.858,GW2330,3.78105651,-71.46928704,384,460,6.35,42000,12,
2488.858,2500.85,GW2340,3.781078749,-71.46939822,383.5,460,6.35,42000,12,
2500.85,2506.2,GW2350,3.781100901,-71.46950955,383,460,6.35,42000,12,
2506.2,2518.223,GW2360,3.781110783,-71.46955922,382.5,460,6.35,42000,12,
2518.223,2530.263,GW2370,3.781132851,-71.46967086,382,460,6.35,42000,12,
2530.263,2535.379,GW2380,3.781154124,-71.46978282,381.5,460,6.35,42000,12,
2535.379,2547.403,GW2390,3.781162949,-71.46983043,381,460,6.35,42000,12,
2547.403,2554.269,GW2400,3.781182838,-71.46994249,380.5,460,6.35,42000,12,
2554.269,2566.314,GW2410,3.781188012,-71.47000678,380,460,6.35,42000,12,
2566.314,2578.331,GW2420,3.781164044,-71.47011721,379.5,460,6.35,42000,12,
2578.331,2590.33,GW2430,3.781123015,-71.4702233,379,460,6.35,42000,12,
2590.33,2597.24,GW2440,3.781082687,-71.47032946,378.5,460,6.35,42000,12,
2597.24,2609.265,GW2450,3.781062941,-71.47039181,378,460,6.35,42000,12,
2609.265,2621.492,GW2460,3.781040784,-71.47050328,377.5,460,6.35,42000,12,
2621.492,2633.694,GW2470,3.781035675,-71.47061884,377,460,6.35,42000,12,
2633.694,2645.873,GW2480,3.781040144,-71.4707342,376.5,460,6.35,42000,12,
2645.873,2658.082,GW2490,3.78104804,-71.47084921,376,460,6.35,42000,12,
2658.082,2664.207,GW2500,3.78105629,-71.47096448,375.5,460,6.35,42000,12,
2664.207,2676.228,GW2510,3.781060435,-71.47102231,375,460,6.35,42000,12,
2676.228,2688.242,GW2520,3.781068424,-71.47113581,374.5,460,6.35,42000,12,
2688.242,2700.265,GW2530,3.781076224,-71.47124926,374,460,6.35,42000,12,
2700.265,2711.338,GW2540,3.78108403,-71.4713628,373.5,460,6.35,42000,12,
2711.338,2723.353,GW2550,3.78109175,-71.47146732,373,460,6.35,42000,12,
2723.353,2735.347,GW2560,3.781100479,-71.47158071,372.5,460,6.35,42000,12,
2735.347,2747.325,GW2570,3.781109213,-71.4716939,372,460,6.35,42000,12,
2747.325,2759.313,GW2580,3.781117933,-71.47180695,371.5,460,6.35,42000,12,
2759.313,2771.299,GW2590,3.781126662,-71.47192008,371,460,6.35,42000,12,
2771.299,2783.285,GW2600,3.781135367,-71.4720332,370.5,460,6.35,42000,12,
2783.285,2787.378,GW2610,3.781143785,-71.47214634,370,460,6.35,42000,12,
2787.378,2799.401,GW2620,3.781146573,-71.47218498,369.5,460,6.35,42000,12,
2799.401,2811.405,GW2630,3.781154762,-71.47229849,369,460,6.35,42000,12,
2811.405,2823.411,GW2640,3.781162937,-71.47241182,368.5,460,6.35,42000,12,
2823.411,2830.339,GW2650,3.781171308,-71.47252515,368,460,6.35,42000,12,
2830.339,2842.37,GW2660,3.78117627,-71.47259054,367.5,460,6.35,42000,12,
2842.37,2854.408,GW2670,3.781181525,-71.47270424,367,460,6.35,42000,12,
2854.408,2862.962,GW2680,3.781178504,-71.47281811,366.5,460,6.35,42000,12,
2862.962,2874.998,GW2690,3.781174978,-71.472899,366,460,6.35,42000,12,
2874.998,2878.292,GW2700,3.781170018,-71.47301282,365.5,460,6.35,42000,12,
2878.292,2890.34,GW2710,3.78116866,-71.47304396,365,460,6.35,42000,12,
2890.34,2899.713,GW2720,3.781163509,-71.47315789,364.5,460,6.35,42000,12,
2899.713,2911.693,GW2730,3.78115936,-71.47324651,364,460,6.35,42000,12,
2911.693,2923.711,GW2740,3.781154046,-71.47335978,363.5,460,6.35,42000,12,
2923.711,2934.279,GW2750,3.78114851,-71.4734734,363,460,6.35,42000,12,
2934.279,2945.915,GW2760,3.781143079,-71.47357328,362.5,460,6.35,42000,12,
2945.915,2957.917,GW2770,3.781137099,-71.47368326,362,460,6.35,42000,12,
2957.917,2969.906,GW2780,3.781130931,-71.4737967,361.5,460,6.35,42000,12,
2969.906,2981.882,GW2790,3.781124506,-71.47391,361,460,6.35,42000,12,
2981.882,2993.883,GW2800,3.781117622,-71.47402315,360.5,460,6.35,42000,12,
2993.883,3005.929,GW2810,3.781110764,-71.47413653,360,460,6.35,42000,12,
3005.929,3017.959,GW2820,3.781103995,-71.47425035,359.5,460,6.35,42000,12,
3017.959,3029.922,GW2830,3.781097267,-71.47436402,359,460,6.35,42000,12,
3029.922,3041.889,GW2840,3.781090786,-71.47447707,358.5,460,6.35,42000,12,
3041.889,3053.897,GW2850,3.781084803,-71.47459019,358,460,6.35,42000,12,
3053.897,3065.933,GW2860,3.781078847,-71.47470369,357.5,460,6.35,42000,12,
3065.933,3077.92,GW2870,3.781072879,-71.47481746,357,460,6.35,42000,12,
3077.92,3089.863,GW2880,3.781066935,-71.47493077,356.5,460,6.35,42000,12,
3089.863,3101.842,GW2890,3.781061012,-71.47504366,356,460,6.35,42000,12,
3101.842,3105.77,GW2900,3.781055616,-71.47515691,355.5,460,6.35,42000,12,
3105.77,3117.752,GW2910,3.781053934,-71.47519406,355,460,6.35,42000,12,
3117.752,3129.758,GW2920,3.781048811,-71.47530735,354.5,460,6.35,42000,12,
3129.758,3141.749,GW2930,3.781043679,-71.47542088,354,460,6.35,42000,12,
3141.749,3153.74,GW2940,3.781036097,-71.47553412,353.5,460,6.35,42000,12,
