distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
2198.642,2210.68,GW1980,5.413211667,-72.31399306,274.883,355.6,9.53,60000,12.038,ERW
2210.68,2222.764,GW1990,5.413194444,-72.31410083,275.132,355.6,9.53,60000,12.084,ERW
2222.764,2234.86,GW2000,5.413177222,-72.31420889,275.284,355.6,9.53,60000,12.096,ERW
2234.86,2246.828,GW2010,5.413159722,-72.31431694,275.321,355.6,9.53,60000,11.968,ERW
2246.828,2258.804,GW2020,5.413141944,-72.31442389,275.393,355.6,9.53,60000,11.976,ERW
2258.804,2270.883,GW2030,5.413123889,-72.31453083,275.391,355.6,9.53,60000,12.079,ERW
2270.883,2282.994,GW2040,5.413105556,-72.31463861,275.345,355.6,9.53,60000,12.111,ERW
2282.994,2295.159,GW2050,5.413086389,-72.31474667,275.318,355.6,9.53,60000,12.165,ERW
2295.159,2307.2,GW2060,5.413066667,-72.314855,275.309,355.6,9.53,60000,12.041,ERW
2307.2,2319.367,GW2070,5.413046667,-72.31496222,275.176,355.6,9.53,60000,12.167,ERW
2319.367,2331.316,GW2080,5.413026667,-72.31507056,275.013,355.6,9.53,60000,11.949,ERW
2331.316,2343.295,GW2090,5.413007778,-72.31517722,274.922,355.6,9.53,60000,11.979,ERW
2343.295,2355.433,GW2100,5.412990556,-72.31528417,274.815,355.6,9.53,60000,12.138,ERW
2355.433,2367.622,GW2110,5.412973889,-72.31539278,274.724,355.6,9.53,60000,12.189,ERW
2367.622,2379.721,GW2120,5.412956389,-72.31550194,274.523,355.6,9.53,60000,12.099,ERW
2379.721,2381.813,GW2130,5.412937222,-72.31560972,274.537,355.6,9.53,60000,2.092,ERW
2381.813,2392.153,GW2140,5.412933889,-72.31562833,274.564,355.6,9.53,60000,10.34,ERW
2392.153,2404.297,GW2150,5.412916667,-72.31572056,274.663,355.6,9.53,60000,12.144,ERW
2404.297,2416.468,GW2160,5.412896389,-72.31582861,274.663,355.6,9.53,60000,12.171,ERW
2416.468,2428.681,GW2170,5.4128775,-72.31593694,274.703,355.6,9.53,60000,12.213,ERW
2428.681,2439.06,GW2180,5.412859167,-72.31604611,274.735,355.6,9.53,60000,10.379,ERW
2439.06,2451.279,GW2190,5.412844167,-72.31613889,274.638,355.6,9.53,60000,12.219,ERW
2451.279,2454.113,GW2200,5.412826667,-72.31624806,274.865,355.6,9.53,60000,2.834,ERW
